DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,SI,2013,17160,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,SI,2018,20240,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,SI,2021,21350,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,SK,2013,13300,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,SK,2018,15580,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,SK,2021,16200,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,TR,2013,9710,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,TR,2018,11570,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,TR,2021,12810,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,UK,2013,30660,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,UK,2018,32640,
